Company, CPU company, CPU model, touchscreen, Link
MSI,None,i7,No,https://www.amazon.in/MSI-7RDX-2069XIN-15-6-inch-i7-7700HQ-Graphics/dp/B075JH6N6R
HP,amd,i3,No,https://www.amazon.in/HP-15-BS580TX-15-6-inch-i3-6006U-Sparkling/dp/B074W9J3KR
Lenovo,intel,i3,No,https://www.amazon.in/Lenovo-Thinkpad-14-inch-Laptop-Intel/dp/B01MZ9NTJI
Lenovo,None,i5,No,https://www.amazon.in/Lenovo-ThinkPad-E480-i5-8250U-Integrated/dp/B07GT729XV
Lenovo,amd,A6,No,https://www.amazon.in/Lenovo-Ideapad-A6-9220-SCREEN-GRAPHIC/dp/B07CNVVJLX
Mi,None,i5,No,https://www.amazon.in/HP-Pavilion-15-cx0141tx-i5-8300H-Graphics/dp/B07DPBVP8J
MSI,None,i7,No,https://www.amazon.in/MSI-GT75-8RG-062IN-17-3-inch-i7-8750H/dp/B07BQ4JSRK
Lenovo,None,i3,No,https://www.amazon.in/Lenovo-81G20039IN-i3-7020U-Integrated-Graphics/dp/B07HQFDRZL
Lenovo,None,i5,No,https://www.amazon.in/Lenovo-80UD014CIH-15-6-inch-i5-6200U-Graphics/dp/B06WRNHPB4
Aspire,amd,A4,No,https://www.amazon.in/Acer-ES1-523-15-6-inch-A4-7210-Graphics/dp/B078WQMS3J
HP,None,Pentium,No,https://www.amazon.in/HP-15-AY085TU-15-6-inch-Integrated-Graphics/dp/B06WV7SZFL
Lenovo,None,i5,No,https://www.amazon.in/Lenovo-80QQ01BBIH-15-6-inch-i5-5200U-Graphics/dp/B01LZAK4HQ
Aspire,None,i3,No,https://www.amazon.in/Acer-15-6-inch-i3-6006U-Integrated-Graphics/dp/B06XDQBGJ8
Intel,intel,Pentium,No,https://www.amazon.in/Acer-GY3SI-003-15-6-inch-Processor-Integrated/dp/B07KMPB8M2
Mi,intel,i7,No,https://www.amazon.in/HP-X-ap046TX-17-inch-i7-7820HK-Miracast/dp/B07BN27V7P
